payload_id,site,endpoint,side,best_fit_version,rule,severity,path,section
p000071,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[4].id,3.2.4
p000071,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[4].tagid,3.2.4
p000071,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[5].id,3.2.4
p000071,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[5].tagid,3.2.4
p000071,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[6].id,3.2.4
p000071,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[6].tagid,3.2.4
p000071,cityam.com,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[3].id,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[3].tagid,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[4].id,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[4].tagid,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[5].id,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[5].tagid,3.2.4
p000072,cityam.com,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000073,cornucopia.se,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000073,cornucopia.se,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000073,cornucopia.se,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000073,cornucopia.se,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000073,cornucopia.se,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
