payload_id,site,endpoint,side,best_fit_version,rule,severity,path,section
p000081,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000081,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000081,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000081,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000082,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000082,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000082,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000082,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000082,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000082,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000082,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000082,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000083,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000083,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000083,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000083,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000083,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000083,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000083,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000083,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000084,cornucopia.se,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000084,cornucopia.se,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000084,cornucopia.se,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000085,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000085,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000086,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000086,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000087,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000088,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000088,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000088,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000088,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000088,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000088,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000088,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000088,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000089,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000089,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000089,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000089,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].tagid,3.2.4
p000089,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000089,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].tagid,3.2.4
p000089,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000089,csfd.cz,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,user.ext.consent,Section 3.2.20
p000090,epravda.com.ua,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000090,epravda.com.ua,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000091,epravda.com.ua,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000091,epravda.com.ua,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000092,falstaff.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000092,falstaff.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000092,falstaff.com,adx.adform.net,request,2.6-202606,openrtb.field.moved,error,regs.ext.gdpr,Section 3.2.3
p000093,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000093,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000094,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000094,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000095,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000095,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000096,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000096,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000097,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000097,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000098,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000098,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000099,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000099,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000100,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000100,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000101,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000101,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000102,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000102,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000103,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000103,haberler.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].tagid,3.2.4
p000104,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000104,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000104,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.undefined,error,imp[1].video.context,3.2.7
p000104,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.deprecated,warning,imp[1].video.placement,Section 3.2.7
p000104,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.undefined,error,imp[1].video.playerSize,3.2.7
p000105,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000105,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000105,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000105,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.undefined,error,imp[2].video.context,3.2.7
p000105,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.deprecated,warning,imp[2].video.placement,Section 3.2.7
p000105,mthai.com,adx.adform.net,request,2.6-202606,openrtb.field.undefined,error,imp[2].video.playerSize,3.2.7
p000106,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000107,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000107,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000108,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000109,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000110,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000111,mthai.com,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[0].id,3.2.4
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[1].id,3.2.4
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[2].id,3.2.4
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[3].id,3.2.4
p000112,prosport.ro,adx.adform.net,request,2.6-202606,openrtb.type.mismatch,error,imp[4].id,3.2.4
